					
	Question	Answers	Recommendation	LINK	KeyWords
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Back Pain Yoga	Yoga For Back Pain	https://www.youtube.com/watch?v=phuS5VLQy8c	Back Pain Yoga
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Neck shoulders yoga	Yoga For Neck, Shoulders, Upper Back | 10-Minute	https://www.youtube.com/watch?v=X3-gKPNyrTA	Neck shoulders yoga
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Yoga for flexibility	20 min Yoga for Flexibility	https://www.youtube.com/watch?v=_OYvmYJZE_0	Yoga for flexibility
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Yoga for strength 	Full Body Yoga for Strength & Flexibility | 25 Minute At Home Mobility Routine	https://www.youtube.com/watch?v=Eml2xnoLpYE	Full Body Yoga for Strength & Flexibility
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Somatic stress release	Seven-Minute Seated Qi Gong Routine For Less Stress and More Energy	https://www.youtube.com/watch?v=s24kDYD2tN8	Somatic stress release
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Self-Compassion 	15-Minute “Inner Smile” Meditation for Self-Love and Compassion	https://www.youtube.com/watch?v=z9d2XApwqZY	Self-Compassion meditation
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Loving Kindness 	Loving Kindness Meditation by Kristin Neff	https://www.youtube.com/watch?v=9cxtdiXBQDk	Loving Kindness Meditation
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Relaxation	Immerse yourself into the peaceful sounds and let your mind be carried away into spheres of abundance. Let your whole being vibrate and feel the aliveness of your body. 	https://www.youtube.com/watch?v=woNqQFEiQ0Q	Healing music, handpan music
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Breathing practice	Meditation can help reduce stress, activate the body’s “relaxation response,” and alleviate anxiety, depression and pain.	https://www.youtube.com/watch?v=iuv5EomIA9s	Reduce stress, relaxation through breathing
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Diaphragmatic breathing	Meditation can help reduce stress, activate the body’s “relaxation response,” and alleviate anxiety, depression and pain.	https://www.youtube.com/watch?v=zPgwQFU1Cwc	Reduce stress, relaxation through breathing
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Mindfulness	A short mindfulness meditation for you to use when you are short on time, but still want to get into a mindful state of mind.  Even five minutes can produce major benefits, give it a try... Enjoy!	https://www.youtube.com/watch?v=ssss7V1_eyA	Minfdullness meditation
	How do you feel today emotionally and physically? What would you like to heal or work on today?	A morning meditation	A Fresh Morning a New You! 	https://www.youtube.com/watch?v=UpGkWr96rXM	Prepare for a great day!
	How do you feel today emotionally and physically? What would you like to heal or work on today?	Gratitude	5 Minute Gratitude from the Heart (Guided Meditation)	https://www.youtube.com/watch?v=m4JJRZzgPio	Expressing gratitude from the heart
